#abscisse               ordonnée
   0.0000000000000000        0.0000000000000000     
   4.9975012493753122E-004  -4.9950037475015414E-004
   9.9950024987506244E-004  -9.9850124912555585E-004
   1.4992503748125937E-003  -1.4970026231262096E-003
   1.9990004997501249E-003  -1.9950044967521180E-003
   2.4987506246876559E-003  -2.4925068700032693E-003
   2.9985007496251873E-003  -2.9895097428796705E-003
   3.4982508745627187E-003  -3.4860131153813248E-003
   3.9980009995002497E-003  -3.9820169875082450E-003
   4.4977511244377807E-003  -4.4775213592603991E-003
   4.9975012493753117E-003  -4.9725262306378011E-003
   5.4972513743128436E-003  -5.4670316016404482E-003
   5.9970014992503746E-003  -5.9610374722683475E-003
   6.4967516241879056E-003  -6.4545438425214971E-003
   6.9965017491254375E-003  -6.9475507123999006E-003
   7.4962518740629685E-003  -7.4400580819035528E-003
   7.9960019990004995E-003  -7.9320659510324805E-003
   8.4957521239380305E-003  -8.4235743197866343E-003
   8.9955022488755615E-003  -8.9145831881660385E-003
   9.4952523738130925E-003  -9.4050925561706914E-003
   9.9950024987506235E-003  -9.8951024238005929E-003
   1.0494752623688156E-002  -1.0384612791055743E-002
   1.0994502748625687E-002  -1.0873623657936144E-002
   1.1494252873563218E-002  -1.1362135024441793E-002
   1.1994002998500749E-002  -1.1850146890572696E-002
   1.2493753123438280E-002  -1.2337659256328844E-002
   1.2993503248375811E-002  -1.2824672121710243E-002
   1.3493253373313342E-002  -1.3311185486716899E-002
   1.3993003498250875E-002  -1.3797199351348797E-002
   1.4492753623188406E-002  -1.4282713715605947E-002
   1.4992503748125937E-002  -1.4767728579488349E-002
   1.5492253873063468E-002  -1.5252243942995996E-002
   1.5992003998000999E-002  -1.5736259806128916E-002
   1.6491754122938532E-002  -1.6219776168887066E-002
   1.6991504247876061E-002  -1.6702793031270466E-002
   1.7491254372813594E-002  -1.7185310393279116E-002
   1.7991004497751123E-002  -1.7667328254913017E-002
   1.8490754622688656E-002  -1.8148846616172169E-002
   1.8990504747626185E-002  -1.8629865477056567E-002
   1.9490254872563718E-002  -1.9110384837566215E-002
   1.9990004997501247E-002  -1.9590404697701114E-002
   2.0489755122438780E-002  -2.0069925057461264E-002
   2.0989505247376312E-002  -2.0548945916846664E-002
   2.1489255372313842E-002  -2.1027467275857314E-002
   2.1989005497251374E-002  -2.1505489134493214E-002
   2.2488755622188904E-002  -2.1983011492754362E-002
   2.2988505747126436E-002  -2.2460034350640760E-002
   2.3488255872063966E-002  -2.2936557708152408E-002
   2.3988005997001498E-002  -2.3412581565289307E-002
   2.4487756121939031E-002  -2.3888105922051456E-002
   2.4987506246876560E-002  -2.4363130778438855E-002
   2.5487256371814093E-002  -2.4837656134451502E-002
   2.5987006496751622E-002  -2.5311681990089398E-002
   2.6486756621689155E-002  -2.5785208345352546E-002
   2.6986506746626684E-002  -2.6258235200240943E-002
   2.7486256871564217E-002  -2.6730762554754591E-002
   2.7986006996501750E-002  -2.7202790408893486E-002
   2.8485757121439279E-002  -2.7674318762657631E-002
   2.8985507246376812E-002  -2.8145347616047027E-002
   2.9485257371314341E-002  -2.8615876969061673E-002
   2.9985007496251874E-002  -2.9085906821701570E-002
   3.0484757621189403E-002  -2.9555437173966716E-002
   3.0984507746126936E-002  -3.0024468025857114E-002
   3.1484257871064465E-002  -3.0492999377372758E-002
   3.1984007996001998E-002  -3.0961031228513652E-002
   3.2483758120939531E-002  -3.1428563579279797E-002
   3.2983508245877063E-002  -3.1895596429671193E-002
   3.3483258370814589E-002  -3.2362129779687838E-002
   3.3983008495752122E-002  -3.2828163629329735E-002
   3.4482758620689655E-002  -3.3293697978596881E-002
   3.4982508745627187E-002  -3.3758732827489278E-002
   3.5482258870564713E-002  -3.4223268176006925E-002
   3.5982008995502246E-002  -3.4687304024149823E-002
   3.6481759120439779E-002  -3.5150840371917964E-002
   3.6981509245377311E-002  -3.5613877219311356E-002
   3.7481259370314844E-002  -3.6076414566329998E-002
   3.7981009495252370E-002  -3.6538452412973890E-002
   3.8480759620189903E-002  -3.6999990759243033E-002
   3.8980509745127435E-002  -3.7461029605137426E-002
   3.9480259870064968E-002  -3.7921568950657070E-002
   3.9980009995002494E-002  -3.8381608795801964E-002
   4.0479760119940027E-002  -3.8841149140572108E-002
   4.0979510244877559E-002  -3.9300189984967503E-002
   4.1479260369815092E-002  -3.9758731328988148E-002
   4.1979010494752625E-002  -4.0216773172634043E-002
   4.2478760619690151E-002  -4.0674315515905189E-002
   4.2978510744627683E-002  -4.1131358358801579E-002
   4.3478260869565216E-002  -4.1587901701323218E-002
   4.3978010994502749E-002  -4.2043945543470108E-002
   4.4477761119440282E-002  -4.2499489885242249E-002
   4.4977511244377807E-002  -4.2954534726639640E-002
   4.5477261369315340E-002  -4.3409080067662281E-002
   4.5977011494252873E-002  -4.3863125908310173E-002
   4.6476761619190406E-002  -4.4316672248583315E-002
   4.6976511744127931E-002  -4.4769719088481708E-002
   4.7476261869065464E-002  -4.5222266428005350E-002
   4.7976011994002997E-002  -4.5674314267154244E-002
   4.8475762118940530E-002  -4.6125862605928387E-002
   4.8975512243878062E-002  -4.6576911444327775E-002
   4.9475262368815588E-002  -4.7027460782352412E-002
   4.9975012493753121E-002  -4.7477510620002300E-002
   5.0474762618690654E-002  -4.7927060957277438E-002
   5.0974512743628186E-002  -4.8376111794177827E-002
   5.1474262868565712E-002  -4.8824663130703466E-002
   5.1974012993503245E-002  -4.9272714966854356E-002
   5.2473763118440778E-002  -4.9720267302630496E-002
   5.2973513243378310E-002  -5.0167320138031886E-002
   5.3473263368315843E-002  -5.0613873473058527E-002
   5.3973013493253369E-002  -5.1059927307710418E-002
   5.4472763618190902E-002  -5.1505481641987559E-002
   5.4972513743128434E-002  -5.1950536475889944E-002
   5.5472263868065967E-002  -5.2395091809417579E-002
   5.5972013993003500E-002  -5.2839147642570465E-002
   5.6471764117941026E-002  -5.3282703975348601E-002
   5.6971514242878558E-002  -5.3725760807751988E-002
   5.7471264367816091E-002  -5.4168318139780625E-002
   5.7971014492753624E-002  -5.4610375971434512E-002
   5.8470764617691150E-002  -5.5051934302713650E-002
   5.8970514742628682E-002  -5.5492993133618038E-002
   5.9470264867566215E-002  -5.5933552464147676E-002
   5.9970014992503748E-002  -5.6373612294302565E-002
   6.0469765117441281E-002  -5.6813172624082704E-002
   6.0969515242378806E-002  -5.7252233453488094E-002
   6.1469265367316339E-002  -5.7690794782518727E-002
   6.1969015492253872E-002  -5.8128856611174611E-002
   6.2468765617191405E-002  -5.8566418939455744E-002
   6.2968515742128930E-002  -5.9003481767362129E-002
   6.3468265867066470E-002  -5.9440045094893763E-002
   6.3968015992003996E-002  -5.9876108922050648E-002
   6.4467766116941522E-002  -6.0311673248832784E-002
   6.4967516241879061E-002  -6.0746738075240170E-002
   6.5467266366816587E-002  -6.1181303401272806E-002
   6.5967016491754127E-002  -6.1615369226930693E-002
   6.6466766616691653E-002  -6.2048935552213830E-002
   6.6966516741629178E-002  -6.2482002377122217E-002
   6.7466266866566718E-002  -6.2914569701655848E-002
   6.7966016991504244E-002  -6.3346637525814736E-002
   6.8465767116441784E-002  -6.3778205849598868E-002
   6.8965517241379309E-002  -6.4209274673008257E-002
   6.9465267366316835E-002  -6.4639843996042889E-002
   6.9965017491254375E-002  -6.5069913818702779E-002
   7.0464767616191901E-002  -6.5499484140987912E-002
   7.0964517741129426E-002  -6.5928554962898289E-002
   7.1464267866066966E-002  -6.6357126284433923E-002
   7.1964017991004492E-002  -6.6785198105594801E-002
   7.2463768115942032E-002  -6.7212770426380936E-002
   7.2963518240879557E-002  -6.7639843246792314E-002
   7.3463268365817083E-002  -6.8066416566828949E-002
   7.3963018490754623E-002  -6.8492490386490829E-002
   7.4462768615692149E-002  -6.8918064705777965E-002
   7.4962518740629688E-002  -6.9343139524690345E-002
   7.5462268865567214E-002  -6.9767714843227982E-002
   7.5962018990504740E-002  -7.0191790661390863E-002
   7.6461769115442280E-002  -7.0615366979179001E-002
   7.6961519240379805E-002  -7.1038443796592382E-002
   7.7461269365317345E-002  -7.1461021113631007E-002
   7.7961019490254871E-002  -7.1883098930294889E-002
   7.8460769615192397E-002  -7.2304677246584015E-002
   7.8960519740129936E-002  -7.2725756062498398E-002
   7.9460269865067462E-002  -7.3146335378038024E-002
   7.9960019990004988E-002  -7.3566415193202908E-002
   8.0459770114942528E-002  -7.3985995507993035E-002
   8.0959520239880053E-002  -7.4405076322408420E-002
   8.1459270364817593E-002  -7.4823657636449048E-002
   8.1959020489755119E-002  -7.5241739450114933E-002
   8.2458770614692645E-002  -7.5659321763406062E-002
   8.2958520739630184E-002  -7.6076404576322448E-002
   8.3458270864567710E-002  -7.6492987888864078E-002
   8.3958020989505250E-002  -7.6909071701030951E-002
   8.4457771114442776E-002  -7.7324656012823081E-002
   8.4957521239380301E-002  -7.7739740824240455E-002
   8.5457271364317841E-002  -7.8154326135283086E-002
   8.5957021489255367E-002  -7.8568411945950961E-002
   8.6456771614192907E-002  -7.8981998256244093E-002
   8.6956521739130432E-002  -7.9395085066162469E-002
   8.7456271864067958E-002  -7.9807672375706101E-002
   8.7956021989005498E-002  -8.0219760184874978E-002
   8.8455772113943024E-002  -8.0631348493669111E-002
   8.8955522238880563E-002  -8.1042437302088488E-002
   8.9455272363818089E-002  -8.1453026610133122E-002
   8.9955022488755615E-002  -8.1863116417803000E-002
   9.0454772613693155E-002  -8.2272706725098121E-002
   9.0954522738630680E-002  -8.2681797532018500E-002
   9.1454272863568206E-002  -8.3090388838564122E-002
   9.1954022988505746E-002  -8.3498480644735001E-002
   9.2453773113443272E-002  -8.3906072950531124E-002
   9.2953523238380811E-002  -8.4313165755952504E-002
   9.3453273363318337E-002  -8.4719759060999128E-002
   9.3953023488255863E-002  -8.5125852865671009E-002
   9.4452773613193403E-002  -8.5531447169968133E-002
   9.4952523738130928E-002  -8.5936541973890515E-002
   9.5452273863068468E-002  -8.6341137277438140E-002
   9.5952023988005994E-002  -8.6745233080611023E-002
   9.6451774112943520E-002  -8.7148829383409149E-002
   9.6951524237881059E-002  -8.7551926185832518E-002
   9.7451274362818585E-002  -8.7954523487881145E-002
   9.7951024487756125E-002  -8.8356621289555015E-002
   9.8450774612693651E-002  -8.8758219590854143E-002
   9.8950524737631176E-002  -8.9159318391778514E-002
   9.9450274862568716E-002  -8.9559917692328142E-002
   9.9950024987506242E-002  -8.9960017492503014E-002
  0.10044977511244378       -9.0359617792303143E-002
  0.10094952523738131       -9.0758718591728516E-002
  0.10144927536231883       -9.1157319890779145E-002
  0.10194902548725637       -9.1555421689455019E-002
  0.10244877561219390       -9.1953023987756149E-002
