#abscisse               ordonnée
   0.0000000000000000        0.0000000000000000     
   6.6622251832111927E-004  -6.6577866587715225E-004
   1.3324450366422385E-003  -1.3306696268664683E-003
   1.9986675549633578E-003  -1.9946728829679412E-003
   2.6648900732844771E-003  -2.6577884341815921E-003
   3.3311125916055963E-003  -3.3200162805073988E-003
   3.9973351099267156E-003  -3.9813564219453564E-003
   4.6635576282478344E-003  -4.6418088584954968E-003
   5.3297801465689541E-003  -5.3013735901578018E-003
   5.9960026648900738E-003  -5.9600506169322724E-003
   6.6622251832111927E-003  -6.6178399388188902E-003
   7.3284477015323115E-003  -7.2747415558176865E-003
   7.9946702198534312E-003  -7.9307554679286085E-003
   8.6608927381745509E-003  -8.5858816751517558E-003
   9.3271152564956689E-003  -9.2401201774870139E-003
   9.9933377748167886E-003  -9.8934709749344540E-003
   1.0659560293137908E-002  -1.0545934067494085E-002
   1.1325782811459028E-002  -1.1197509455165856E-002
   1.1992005329780148E-002  -1.1848197137949793E-002
   1.2658227848101266E-002  -1.2497997115845878E-002
   1.3324450366422385E-002  -1.3146909388854154E-002
   1.3990672884743505E-002  -1.3794933956974563E-002
   1.4656895403064623E-002  -1.4442070820207185E-002
   1.5323117921385743E-002  -1.5088319978551945E-002
   1.5989340439706862E-002  -1.5733681432008841E-002
   1.6655562958027982E-002  -1.6378155180577957E-002
   1.7321785476349102E-002  -1.7021741224259222E-002
   1.7988007994670221E-002  -1.7664439563052518E-002
   1.8654230512991338E-002  -1.8306250196958182E-002
   1.9320453031312457E-002  -1.8947173125975974E-002
   1.9986675549633577E-002  -1.9587208350105821E-002
   2.0652898067954697E-002  -2.0226355869347946E-002
   2.1319120586275817E-002  -2.0864615683702167E-002
   2.1985343104596936E-002  -2.1501987793168555E-002
   2.2651565622918056E-002  -2.2138472197747117E-002
   2.3317788141239176E-002  -2.2774068897437941E-002
   2.3984010659560295E-002  -2.3408777892240794E-002
   2.4650233177881412E-002  -2.4042599182155785E-002
   2.5316455696202531E-002  -2.4675532767183001E-002
   2.5982678214523651E-002  -2.5307578647322460E-002
   2.6648900732844771E-002  -2.5938736822573971E-002
   2.7315123251165890E-002  -2.6569007292937642E-002
   2.7981345769487010E-002  -2.7198390058413551E-002
   2.8647568287808130E-002  -2.7826885119001579E-002
   2.9313790806129246E-002  -2.8454492474701852E-002
   2.9980013324450366E-002  -2.9081212125514174E-002
   3.0646235842771485E-002  -2.9707044071438725E-002
   3.1312458361092609E-002  -3.0331988312475484E-002
   3.1978680879413725E-002  -3.0956044848624211E-002
   3.2644903397734841E-002  -3.1579213679885351E-002
   3.3311125916055964E-002  -3.2201494806258529E-002
   3.3977348434377080E-002  -3.2822888227743853E-002
   3.4643570952698204E-002  -3.3443393944341412E-002
   3.5309793471019320E-002  -3.4063011956051013E-002
   3.5976015989340443E-002  -3.4681742262872725E-002
   3.6642238507661559E-002  -3.5299584864806881E-002
   3.7308461025982675E-002  -3.5916539761853015E-002
   3.7974683544303799E-002  -3.6532606954011476E-002
   3.8640906062624915E-002  -3.7147786441281916E-002
   3.9307128580946038E-002  -3.7762078223664557E-002
   3.9973351099267154E-002  -3.8375482301159371E-002
   4.0639573617588277E-002  -3.8987998673766414E-002
   4.1305796135909394E-002  -3.9599627341485394E-002
   4.1972018654230517E-002  -4.0210368304316749E-002
   4.2638241172551633E-002  -4.0820221562260270E-002
   4.3304463690872749E-002  -4.1429187115316027E-002
   4.3970686209193872E-002  -4.2037264963483721E-002
   4.4636908727514989E-002  -4.2644455106763679E-002
   4.5303131245836112E-002  -4.3250757545155859E-002
   4.5969353764157228E-002  -4.3856172278660080E-002
   4.6635576282478351E-002  -4.4460699307276655E-002
   4.7301798800799467E-002  -4.5064338631005257E-002
   4.7968021319120591E-002  -4.5667090249845950E-002
   4.8634243837441707E-002  -4.6268954163798934E-002
   4.9300466355762823E-002  -4.6869930372863966E-002
   4.9966688874083946E-002  -4.7470018877041310E-002
   5.0632911392405063E-002  -4.8069219676330696E-002
   5.1299133910726186E-002  -4.8667532770732255E-002
   5.1965356429047302E-002  -4.9264958160246085E-002
   5.2631578947368425E-002  -4.9861495844871977E-002
   5.3297801465689541E-002  -5.0457145824610042E-002
   5.3964023984010658E-002  -5.1051908099460266E-002
   5.4630246502331781E-002  -5.1645782669422720E-002
   5.5296469020652897E-002  -5.2238769534497527E-002
   5.5962691538974020E-002  -5.2830868694684140E-002
   5.6628914057295136E-002  -5.3422080149982953E-002
   5.7295136575616259E-002  -5.4012403900394038E-002
   5.7961359093937376E-002  -5.4601839945917316E-002
   5.8627581612258492E-002  -5.5190388286552788E-002
   5.9293804130579615E-002  -5.5778048922300337E-002
   5.9960026648900731E-002  -5.6364821853159996E-002
   6.0626249167221855E-002  -5.6950707079131982E-002
   6.1292471685542971E-002  -5.7535704600216085E-002
   6.1958694203864094E-002  -5.8119814416412285E-002
   6.2624916722185217E-002  -5.8703036527720846E-002
   6.3291139240506333E-002  -5.9285370934141345E-002
   6.3957361758827450E-002  -5.9866817635673933E-002
   6.4623584277148566E-002  -6.0447376632319007E-002
   6.5289806795469682E-002  -6.1027047924076011E-002
   6.5956029313790812E-002  -6.1605831510945105E-002
   6.6622251832111928E-002  -6.2183727392926672E-002
   6.7288474350433045E-002  -6.2760735570020126E-002
   6.7954696868754161E-002  -6.3336856042225886E-002
   6.8620919387075291E-002  -6.3912088809543827E-002
   6.9287141905396407E-002  -6.4486433871973822E-002
   6.9953364423717523E-002  -6.5059891229515956E-002
   7.0619586942038640E-002  -6.5632460882170368E-002
   7.1285809460359756E-002  -6.6204142829936863E-002
   7.1952031978680886E-002  -6.6774937072815399E-002
   7.2618254497002002E-002  -6.7344843610806449E-002
   7.3284477015323118E-002  -6.7913862443909317E-002
   7.3950699533644235E-002  -6.8481993572124644E-002
   7.4616922051965351E-002  -6.9049236995452012E-002
   7.5283144570286481E-002  -6.9615592713891547E-002
   7.5949367088607597E-002  -7.0181060727443192E-002
   7.6615589606928713E-002  -7.0745641036106921E-002
   7.7281812125249830E-002  -7.1309333639883093E-002
   7.7948034643570960E-002  -7.1872138538771266E-002
   7.8614257161892076E-002  -7.2434055732771466E-002
   7.9280479680213192E-002  -7.2995085221884054E-002
   7.9946702198534308E-002  -7.3555227006108698E-002
   8.0612924716855425E-002  -7.4114481085445619E-002
   8.1279147235176555E-002  -7.4672847459894692E-002
   8.1945369753497671E-002  -7.5230326129455766E-002
   8.2611592271818787E-002  -7.5786917094128950E-002
   8.3277814790139904E-002  -7.6342620353914550E-002
   8.3944037308461034E-002  -7.6897435908812165E-002
   8.4610259826782150E-002  -7.7451363758822001E-002
   8.5276482345103266E-002  -7.8004403903944156E-002
   8.5942704863424382E-002  -7.8556556344177991E-002
   8.6608927381745499E-002  -7.9107821079524521E-002
   8.7275149900066629E-002  -7.9658198109982897E-002
   8.7941372418387745E-002  -8.0207687435553593E-002
   8.8607594936708861E-002  -8.0756289056236413E-002
   8.9273817455029977E-002  -8.1304002972031456E-002
   8.9940039973351107E-002  -8.1850829182938442E-002
   9.0606262491672224E-002  -8.2396767688957803E-002
   9.1272485009993340E-002  -8.2941818490089234E-002
   9.1938707528314456E-002  -8.3485981586332858E-002
   9.2604930046635572E-002  -8.4029256977688524E-002
   9.3271152564956702E-002  -8.4571644664156509E-002
   9.3937375083277819E-002  -8.5113144645736591E-002
   9.4603597601598935E-002  -8.5653756922429006E-002
   9.5269820119920051E-002  -8.6193481494233046E-002
   9.5936042638241181E-002  -8.6732318361149752E-002
   9.6602265156562298E-002  -8.7270267523178527E-002
   9.7268487674883414E-002  -8.7807328980319649E-002
   9.7934710193204530E-002  -8.8343502732572576E-002
   9.8600932711525646E-002  -8.8878788779937726E-002
   9.9267155229846776E-002  -8.9413187122415139E-002
   9.9933377748167893E-002  -8.9946697760004551E-002
  0.10059960026648901       -9.0479320692706228E-002
  0.10126582278481013       -9.1011055920520070E-002
  0.10193204530313124       -9.1541903443446176E-002
  0.10259826782145237       -9.2071863261484338E-002
  0.10326449033977349       -9.2600935374634735E-002
  0.10393071285809460       -9.3129119782897188E-002
  0.10459693537641572       -9.3656416486271585E-002
  0.10526315789473685       -9.4182825484758786E-002
  0.10592938041305797       -9.4708346778357780E-002
  0.10659560293137908       -9.5232980367068773E-002
  0.10726182544970020       -9.5756726250892266E-002
  0.10792804796802132       -9.6279584429827411E-002
  0.10859427048634245       -9.6801554903875237E-002
  0.10926049300466356       -9.7322637673035131E-002
  0.10992671552298468       -9.7842832737306956E-002
  0.11059293804130579       -9.8362140096691322E-002
  0.11125916055962692       -9.8880559751187674E-002
  0.11192538307794804       -9.9398091700796054E-002
  0.11259160559626916       -9.9914735945516781E-002
  0.11325782811459027      -0.10043049248534940     
  0.11392405063291139      -0.10094536132029440     
  0.11459027315123252      -0.10145934245035138     
  0.11525649566955364      -0.10197243587552078     
  0.11592271818787475      -0.10248464159580209     
  0.11658894070619587      -0.10299595961119581     
  0.11725516322451698      -0.10350638992170166     
  0.11792138574283811      -0.10401593252731983     
  0.11858760826115923      -0.10452458742804968     
  0.11925383077948035      -0.10503235462389206     
  0.11992005329780146      -0.10553923411484617     
  0.12058627581612259      -0.10604522590091293     
  0.12125249833444371      -0.10655032998209162     
  0.12191872085276483      -0.10705454635838269     
  0.12258494337108594      -0.10755787502978567     
  0.12325116588940706      -0.10806031599630118     
  0.12391738840772819      -0.10856186925792828     
  0.12458361092604930      -0.10906253481466786     
  0.12524983344437043      -0.10956231266651983     
  0.12591605596269154      -0.11006120281348350     
  0.12658227848101267      -0.11055920525555966     
  0.12724850099933377      -0.11105631999274801     
  0.12791472351765490      -0.11155254702504815     
  0.12858094603597603      -0.11204788635246080     
  0.12924716855429713      -0.11254233797498552     
  0.12991339107261826      -0.11303590189262197     
  0.13057961359093936      -0.11352857810537141     
  0.13124583610926049      -0.11402036661323278     
  0.13191205862758162      -0.11451126741620582     
  0.13257828114590273      -0.11500128051429155     
  0.13324450366422386      -0.11549040590748924     
  0.13391072618254496      -0.11597864359579885     
  0.13457694870086609      -0.11646599357922101     
  0.13524317121918722      -0.11695245585775549     
  0.13590939373750832      -0.11743803043140132     
  0.13657561625582945      -0.11792271730016030     
  0.13724183877415058      -0.11840651646403073     
  0.13790806129247168      -0.11888942792301369     
  0.13857428381079281      -0.11937145167710871     
  0.13924050632911392      -0.11985258772631581     
  0.13990672884743505      -0.12033283607063494     
  0.14057295136575618      -0.12081219671006639     
  0.14123917388407728      -0.12129066964461027     
  0.14190539640239841      -0.12176825487426596     
  0.14257161892071951      -0.12224495239903400     
  0.14323784143904064      -0.12272076221891394     
  0.14390406395736177      -0.12319568433390554     
  0.14457028647568287      -0.12366971874401057     
  0.14523650899400400      -0.12414286544922730     
  0.14590273151232511      -0.12461512444955607     
  0.14656895403064624      -0.12508649574499703     
  0.14723517654896737      -0.12555697933555027     
  0.14790139906728847      -0.12602657522121538     
  0.14856762158560960      -0.12649528340199270     
  0.14923384410393070      -0.12696310387788237     
  0.14990006662225183      -0.12743003664888405     
  0.15056628914057296      -0.12789608171499811     
  0.15123251165889406      -0.12836123907622371     
  0.15189873417721519      -0.12882550873256246     
  0.15256495669553632      -0.12928889068401236     
  0.15323117921385743      -0.12975138493057498     
  0.15389740173217856      -0.13021299147224993     
  0.15456362425049966      -0.13067371030903657     
  0.15522984676882079      -0.13113354144093581     
  0.15589606928714192      -0.13159248486794703     
