#abscisse               ordonnée
   0.0000000000000000       -0.0000000000000000     
   1.2272272272272273E-003  -1.2569630746453987E-004
   2.4544544544544545E-003  -2.5139160734311217E-004
   3.6816816816816816E-003  -3.7708489204974941E-004
   4.9089089089089091E-003  -5.0277515399848433E-004
   6.1361361361361366E-003  -6.2846138560334903E-004
   7.3633633633633632E-003  -7.5414257927837599E-004
   8.5905905905905907E-003  -8.7981772743759819E-004
   9.8178178178178182E-003  -1.0054858224950477E-003
   1.1045045045045046E-002  -1.1311458568647569E-003
   1.2272272272272273E-002  -1.2567968229607591E-003
   1.3499499499499501E-002  -1.3824377131970854E-003
   1.4726726726726726E-002  -1.5080675199877691E-003
   1.5953953953953954E-002  -1.6336852357468432E-003
   1.7181181181181181E-002  -1.7592898528883394E-003
   1.8408408408408409E-002  -1.8848803638262901E-003
   1.9635635635635636E-002  -2.0104557609747285E-003
   2.0862862862862864E-002  -2.1360150367476867E-003
   2.2090090090090091E-002  -2.2615571835591969E-003
   2.3317317317317319E-002  -2.3870811938232922E-003
   2.4544544544544546E-002  -2.5125860599540047E-003
   2.5771771771771774E-002  -2.6380707743653667E-003
   2.6998998998999001E-002  -2.7635343294714113E-003
   2.8226226226226229E-002  -2.8889757176861703E-003
   2.9453453453453453E-002  -3.0143939314236754E-003
   3.0680680680680680E-002  -3.1397879630979614E-003
   3.1907907907907908E-002  -3.2651568051230593E-003
   3.3135135135135135E-002  -3.3904994499130026E-003
   3.4362362362362363E-002  -3.5158148898818218E-003
   3.5589589589589590E-002  -3.6411021174435512E-003
   3.6816816816816818E-002  -3.7663601250122231E-003
   3.8044044044044045E-002  -3.8915879050018692E-003
   3.9271271271271273E-002  -4.0167844498265222E-003
   4.0498498498498500E-002  -4.1419487519002160E-003
   4.1725725725725728E-002  -4.2670798036369799E-003
   4.2952952952952955E-002  -4.3921765974508494E-003
   4.4180180180180183E-002  -4.5172381257558561E-003
   4.5407407407407410E-002  -4.6422633809660328E-003
   4.6634634634634638E-002  -4.7672513554954101E-003
   4.7861861861861865E-002  -4.8922010417580221E-003
   4.9089089089089093E-002  -5.0171114321679025E-003
   5.0316316316316320E-002  -5.1419815191390810E-003
   5.1543543543543548E-002  -5.2668102950855934E-003
   5.2770770770770775E-002  -5.3915967524214674E-003
   5.3997997997998003E-002  -5.5163398835607396E-003
   5.5225225225225230E-002  -5.6410386809174415E-003
   5.6452452452452458E-002  -5.7656921369056043E-003
   5.7679679679679685E-002  -5.8902992439392619E-003
   5.8906906906906906E-002  -6.0148589944324466E-003
   6.0134134134134133E-002  -6.1393703807991916E-003
   6.1361361361361361E-002  -6.2638323954535271E-003
   6.2588588588588595E-002  -6.3882440308094882E-003
   6.3815815815815816E-002  -6.5126042792811051E-003
   6.5043043043043050E-002  -6.6369121332824120E-003
   6.6270270270270271E-002  -6.7611665852274393E-003
   6.7497497497497505E-002  -6.8853666275302226E-003
   6.8724724724724726E-002  -7.0095112526047908E-003
   6.9951951951951960E-002  -7.1335994528651803E-003
   7.1179179179179181E-002  -7.2576302207254207E-003
   7.2406406406406415E-002  -7.3816025485995453E-003
   7.3633633633633636E-002  -7.5055154289015861E-003
   7.4860860860860870E-002  -7.6293678540455762E-003
   7.6088088088088091E-002  -7.7531588164455479E-003
   7.7315315315315325E-002  -7.8768873085155369E-003
   7.8542542542542546E-002  -8.0005523226695675E-003
   7.9769769769769766E-002  -8.1241528513216789E-003
   8.0996996996997001E-002  -8.2476878868859051E-003
   8.2224224224224221E-002  -8.3711564217762713E-003
   8.3451451451451455E-002  -8.4945574484068167E-003
   8.4678678678678676E-002  -8.6178899591915700E-003
   8.5905905905905910E-002  -8.7411529465445652E-003
   8.7133133133133131E-002  -8.8643454028798328E-003
   8.8360360360360365E-002  -8.9874663206114102E-003
   8.9587587587587586E-002  -9.1105146921533244E-003
   9.0814814814814820E-002  -9.2334895099196110E-003
   9.2042042042042041E-002  -9.3563897663243006E-003
   9.3269269269269275E-002  -9.4792144537814288E-003
   9.4496496496496496E-002  -9.6019625647050244E-003
   9.5723723723723730E-002  -9.7246330915091231E-003
   9.6950950950950951E-002  -9.8472250266077518E-003
   9.8178178178178185E-002  -9.9697373624149516E-003
   9.9405405405405406E-002  -1.0092169091344748E-002
  0.10063263263263264       -1.0214519205811177E-002
  0.10185985985985986       -1.0336786698228266E-002
  0.10308708708708710       -1.0458970561010058E-002
  0.10431431431431432       -1.0581069786570571E-002
  0.10554154154154155       -1.0703083367323852E-002
  0.10676876876876877       -1.0825010295683925E-002
  0.10799599599599601       -1.0946849564064824E-002
  0.10922322322322323       -1.1068600164880581E-002
  0.11045045045045046       -1.1190261090545229E-002
  0.11167767767767768       -1.1311831333472801E-002
  0.11290490490490492       -1.1433309886077332E-002
  0.11413213213213214       -1.1554695740772848E-002
  0.11535935935935937       -1.1675987889973385E-002
  0.11658658658658659       -1.1797185326092981E-002
  0.11781381381381381       -1.1918287041545659E-002
  0.11904104104104105       -1.2039292028745456E-002
  0.12026826826826827       -1.2160199280106405E-002
  0.12149549549549550       -1.2281007788042541E-002
  0.12272272272272272       -1.2401716544967887E-002
  0.12394994994994996       -1.2522324543296486E-002
  0.12517717717717719       -1.2642830775442364E-002
  0.12640440440440440       -1.2763234233819554E-002
  0.12763163163163163       -1.2883533910842095E-002
  0.12885885885885887       -1.3003728798924011E-002
  0.13008608608608610       -1.3123817890479339E-002
  0.13131331331331331       -1.3243800177922109E-002
  0.13254054054054054       -1.3363674653666358E-002
  0.13376776776776778       -1.3483440310126115E-002
  0.13499499499499501       -1.3603096139715417E-002
  0.13622222222222222       -1.3722641134848281E-002
  0.13744944944944945       -1.3842074287938762E-002
  0.13867667667667669       -1.3961394591400878E-002
  0.13990390390390392       -1.4080601037648665E-002
  0.14113113113113113       -1.4199692619096151E-002
  0.14235835835835836       -1.4318668328157378E-002
  0.14358558558558560       -1.4437527157246374E-002
  0.14481281281281283       -1.4556268098777169E-002
  0.14604004004004004       -1.4674890145163797E-002
  0.14726726726726727       -1.4793392288820291E-002
  0.14849449449449451       -1.4911773522160688E-002
  0.14972172172172174       -1.5030032837599008E-002
  0.15094894894894895       -1.5148169227549295E-002
  0.15217617617617618       -1.5266181684425577E-002
  0.15340340340340342       -1.5384069200641892E-002
  0.15463063063063065       -1.5501830768612265E-002
  0.15585785785785786       -1.5619465380750729E-002
  0.15708508508508509       -1.5736972029471323E-002
  0.15831231231231233       -1.5854349707188072E-002
  0.15953953953953953       -1.5971597406315010E-002
  0.16076676676676677       -1.6088714119266174E-002
  0.16199399399399400       -1.6205698838455594E-002
  0.16322122122122124       -1.6322550556297302E-002
  0.16444844844844844       -1.6439268265205330E-002
  0.16567567567567568       -1.6555850957593713E-002
  0.16690290290290291       -1.6672297625876478E-002
  0.16813013013013015       -1.6788607262467666E-002
  0.16935735735735735       -1.6904778859781297E-002
  0.17058458458458459       -1.7020811410231419E-002
  0.17181181181181182       -1.7136703906232058E-002
  0.17303903903903906       -1.7252455340197242E-002
  0.17426626626626626       -1.7368064704541004E-002
  0.17549349349349350       -1.7483530991677380E-002
  0.17672072072072073       -1.7598853194020402E-002
  0.17794794794794797       -1.7714030303984104E-002
  0.17917517517517517       -1.7829061313982514E-002
